Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
PP-ESTERIL-OME (LA RELIQUIA);Explominerales;Esteril;OME;16,2; 8,1 a 20 ;Segovia;;
PP ESTERIL SANDRA K RC;Alianza Miner;Esteril;AMS;8,7; 8,1 a 20 ;NA;;
PLAZA TRIO - GOLDEN BEAK;OME-ESTERIL-GOLDEN BEAK;Esteril;OME;8,2; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA RC;Plaza Ñeme Ñeme;Esteril;AMS;5,4; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO;La Patera;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K RC;Portal 500;Esteril;AMS;5,9; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO;Silencio - Bolivia Alto;Esteril;AMS;3; 0 a 3 ;NA;;
PLAZA TRIO - GOLDEN BEAK;MACHETE GOLD;Esteril;OME;3; 0 a 3 ;NA;;
PP-ESTERIL-OME (LA CUENCA);Silencio - Bolivia Alto;Esteril;OME;8; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (LA CUENCA);Vía Cuenca;Esteril;OME;3; 0 a 3 ;Remedios;;
PP ESTERIL SANDRA K;MINA LA 17;Esteril;AMS;6; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Puente Bolivia;Esteril;AMS;12; 8,1 a 20 ;;;
PP ESTERIL EL SILENCIO;MACHETE GOLD;Esteril;AMS;3; 0 a 3 ;;;
