Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
OME-ESTERIL (LA 17);Alto De Utiquio;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP ESTERIL CARLA;Ni;Esteril;AMS;11; 8,1 a 20 ;NA;;
PP ESTERIL CARLA;Machete Gold;Esteril;AMS;15,5; 8,1 a 20 ;NA;;
PP ESTERIL CARLA;Poma Rosa;Esteril;AMS;13; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO;Arreglos De Vias Zona Industrial;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO;Estacon;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO;Lote Camambolo;Esteril;AMS;6,6; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO;Ni;Esteril;AMS;8,1; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO;Planta Maria Dama;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO;Plaza Ñeme Ñeme;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO;Plaza Trio;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO;Shaft Providencia;Esteril;AMS;12; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Beta;Esteril;AMS;8,2; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Contratistas;Esteril;AMS;8,3; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Donacion;Esteril;AMS;8,3; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Fase 1B;Esteril;AMS;4,3; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Machete Gold;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Ni;Esteril;AMS;8,2; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Planta Maria Dama;Esteril;AMS;4,3; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Plaza Ñeme Ñeme;Esteril;AMS;4,3; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Poma Rosa;Esteril;AMS;10,9; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Sandra K;Esteril;AMS;19,6; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Trituradora Chispero;Esteril;AMS;18,6; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - PORTAL 500;Lote Camambolo;Esteril;AMS;6,6; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ÑEME ÑEME;Lote Camambolo;Esteril;AMS;6,6; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ÑEME ÑEME;Ni;Esteril;AMS;3; 0 a 3 ;NA;;
